XOOP全般
モジュールはどこで見つけますか,まずは下記をご覧ください。\n[url=http://xoops.sourceforge.jp/wiki/xoops2/index?ETC%2F%A5%E2%A5%B8%A5%E5%A1%BC%A5%EB%BE%F0%CA%F3]XOOPS2で利用出来るモジュール情報[/url]\n\n次は XOOPS日本公式サイト で質問してみてください。\n[url=//jp.xoops.org/modules/newbb/viewtopic.php?viewmode=flat&topic_id=4280&forum=17]こんなモジュールありますか[/url]\n 
日本語・英語 以外のサイトの例はありますか,24カ国のXOOPS公式サイトの一覧があります。\n[url=http://www.xoops.org/modules/xoopspartners/]Official XOOPS Website Partners[/url]\n
ユーザー数の上限はどのくらいですか,サーバーの性能やアクセス頻度により、一概に言えません。\n\n一例として、[url=http://jp.xoops.org/]XOOPS日本公式サイト[/url] では、\n登録ユーザ数は約１万人、記事の総投稿数は約４万件で、順調に稼動しています \n 
サーバーの性能はどのくらい必要ですか,下記のスペック以上を推奨します。\n・CPU 1GHz\n・メモリ 512MB\n\nこれ以下のスペックでは、メモリ・スワップが頻発して、動作が重くなることがあります。\n
SEO が弱いと聞きましたが,SEO (検索エンジン最適化) には、様々な手法があります。\n\n● 動的URLを使用しない\ngoogle などでは、下記のような動的URL（？マークのついたリンク）を嫌う傾向があります。\nhttp：//jp.xoops.org/modules/news/article.php?storyid=301\n\nこの点では、SEO に弱いといえます。\nこれを対策したものには、[url=http://www.suin.jp/modules/mydownloads/viewcat-cid-7.asp]Simplified URLs[/url] があります。\n\n● 適切なキーワード使用する\nXOOPSモジュールの名前である [url=http://www.google.co.jp/search?hl=ja&rls=RNWE%2CRNWE%3A2004-24%2CRNWE%3Aja&q=xfsection&btnG=Google+%E6%A4%9C%E7%B4%A2&lr=lang_ja]xfsection[/url] や [url=http://www.google.co.jp/search?hl=ja&rls=RNWE%2CRNWE%3A2004-24%2CRNWE%3Aja&q=weblinks&btnG=Google+%E6%A4%9C%E7%B4%A2&lr=lang_ja]weblinks[/url]というキーワードでは、\n作者のサイトである [url=http://linux.ohwada.jp/]はっぴぃ・りなっくす[/url] が上位に表示されます。\n
セキュリティが弱いと聞きましたが,セキュリティ対策は、発生頻度 対 想定被害 や 費用 対 効果 などの観点を抜きにはできませんが。\nここでは、技術面と運用面の観点から回答します。\n\n大前提として、バグやセキュリティ・ホールのないソフトウエアは存在しないということを理解ください。\n\n世界で一番使われているソフトウエアは、マイクロソフト社の Windows ですが。\n毎月のように セキュリティ・ホール が報告されています。\n[url=http://update.microsoft.com/]Microsoft Windows Update[/url]\n\nマイクロソフト社では、\nセキュリティ・ホールは発見されしだい対策しているので、安心して使ってください、\nというPRをしています。\n\nXOOPSに関しても全く一緒です。\nセキュリティ・ホールは発見されしだい対策されています。\n\nまた、セキュリティ・ホールがあれば、\nただちに被害に会うのかといえば、\nそうでもありません。\n\n2002年1月から XOOPS日本公式サイト は稼動していますが、\n被害にあったことはありません。\n\nしかし、2004年2月に、XOOPSサイトがクラッキングされた事件がありました。\n[url=http://jp.xoops.org/modules/news/article.php?storyid=195]Agenda-Xモジュールでの脆弱性について[/url]\nただし、これは公式サイトが配布しているXOOPS本体には問題がなく、第三者が配布しているモジュールに問題があったものです。\n\n重要なのは適切な運用を行うことです。\n
個人情報保護法に適合できますか,● 個人情報保護法\n[url=http://www.kantei.go.jp/jp/it/privacy/houseika/hourituan/]個人情報保護法[/url] は、基本的な事項を定めたもので、それほど厳しい内容ではありません。\n一般的なコミニュティ・サイトでは、XOOPSを適切な運用をすることで、個人情報保護法に適合することは可能です。\n適切な運用とは、個人情報を定義し、取得の目的を告知し、不必要な情報は保管しないなどです。\n\n● 経済産業省のガイドライン\n[url=http://www.meti.go.jp/policy/it_policy/privacy/041012_hontai.pdf]経済産業省のガイドライン[/url] では、組織面、人的管理面、物理面、技術面について、具体的な安全措置を規定しています。\n要求されている安全措置に対して、XOOPSなどのWEBアプリケーションが対応する部分は、ごく一部にすぎません。\n現状では、XOOPSは部分的にしか適合していません。\n\n● セキュリティ監査\nさらに厳しいレベルとして、[url=http://www.meti.go.jp/policy/netsecurity/audit.htm]情報セキュリティ監査の実施[/url] や [url=http://privacymark.jp/]プライバシーマークの取得[/url] があります。\nこのレベルが要求されている用途では、XOOPS の出番は全くありません。\n
LAMP 以外の環境でも使用することは可能ですか,OSは、FreeBSD などのUNIX系はOKです。\n\nWEBサーバーは、マイクロソフト社のIISでもOKです。\n\nデーターベース・サーバーは、MySQL 限定です。\nPostgreSQL で動作させている人もいますが、\n公式にサポートされる予定はありません。\n
１つのサーバーに複数のXOOPSを入れることは可能ですか,可能です。\n同じURLでも、異なるディレクトリであれば、異なるXOOPSサイトが構築できます。\n
複数のXOOPSサイトで情報を共有することは可能ですか,基本的には出来ません。\n１つのXOOPSは、自分のデータベースにしかアクセスしない作りになっています。\n\nしかるべき変更を加えれば、可能です。\n他のXOOPSのデータベースにアクセスすることは、割りに容易に実現できます。\n\nあるいは、XMLを用いたサイト間通信を利用する方法もあります。\n
Zope との違いは何ですか,XOOPS のターゲットは、専門知識がなくとも運営できるコミニィティ・サイトです。\n\nZope のターゲットは、大規模な組織のためのサイトです。\n大規模な組織とは、組織員が数100名以上で、複数の部課制を採用しているような組織です。\nそのために、ワークフローの設定や、監査ログの収集などの機能を持っています。\n\nもちろん、一人で運営するサイトにも利用できますが、\n幅広い専門知識が必要となります。\n
今後の方向性はどうなりますか,開発者や利用者からの要望を取り込んでいきます。\n\nXOOPS は開発者だけのものではありません。\n利用者を含めたあらゆる人のものです。\n要望があれば、[url=http://jp.xoops.org/]XOOPS日本公式サイト[/url] で発言しましょう。\n
